timestamp,src_ip,dst_ip,protocol
2025-11-21 13:39:57.441322,10.174.1.43,224.0.0.251,MDNS
2025-11-21 13:39:57.441785,10.174.1.43,224.0.0.251,MDNS
2025-11-21 13:39:57.484596,10.174.0.8,10.162.21.247,TCP
2025-11-21 13:39:57.494910,10.174.0.158,239.255.255.250,SSDP
2025-11-21 13:39:57.494910,10.174.0.158,239.255.255.250,SSDP
2025-11-21 13:39:57.502167,10.174.7.120,239.255.255.250,SSDP
2025-11-21 13:39:57.510522,206.247.55.40,10.174.0.8,DATA
2025-11-21 13:39:57.510757,10.174.0.8,206.247.55.40,DATA
2025-11-21 13:39:57.520606,206.247.55.40,10.174.0.8,DATA
2025-11-21 13:39:57.520806,10.174.0.8,206.247.55.40,DATA
2025-11-21 13:39:57.522794,206.247.55.40,10.174.0.8,TCP
2025-11-21 13:39:57.524428,206.247.55.40,10.174.0.8,DATA
2025-11-21 13:39:57.524585,10.174.0.8,206.247.55.40,DATA
2025-11-21 13:39:57.545464,206.247.55.40,10.174.0.8,DATA
2025-11-21 13:39:57.550496,206.247.55.40,10.174.0.8,DATA
2025-11-21 13:39:57.562060,10.174.2.30,224.0.0.251,MDNS
2025-11-21 13:39:57.584250,10.174.3.132,10.174.7.255,NBNS
2025-11-21 13:39:57.595867,10.174.7.120,224.0.0.251,MDNS
2025-11-21 13:39:57.604482,10.174.5.60,224.0.0.251,MDNS
2025-11-21 13:39:57.609090,10.174.0.8,206.247.55.40,DATA
2025-11-21 13:39:57.618057,10.174.0.1,10.174.0.8,ICMP
2025-11-21 13:39:57.618057,10.174.0.1,10.174.0.8,ICMP
2025-11-21 13:39:57.618057,10.174.0.1,10.174.0.8,ICMP
2025-11-21 13:39:57.644966,10.174.6.203,224.0.0.251,MDNS
2025-11-21 13:39:57.650074,10.174.1.150,224.0.0.251,MDNS
2025-11-21 13:39:57.701400,206.247.55.40,10.174.0.8,TLS
2025-11-21 13:39:57.701906,10.174.0.8,206.247.55.40,TLS
2025-11-21 13:39:57.719416,10.174.1.117,224.0.0.251,MDNS
2025-11-21 13:39:57.731587,10.174.0.41,10.174.7.255,BROWSER
2025-11-21 13:39:57.749268,10.174.0.214,239.255.255.250,SSDP
2025-11-21 13:39:57.749464,10.174.0.214,239.255.255.250,SSDP
2025-11-21 13:39:57.750956,10.174.0.8,35.186.224.22,TLS
2025-11-21 13:39:57.787494,35.186.224.22,10.174.0.8,TCP
2025-11-21 13:39:57.805050,10.174.1.150,239.255.255.250,SSDP
2025-11-21 13:39:57.846774,10.174.0.8,206.247.55.40,TCP
2025-11-21 13:39:57.854103,10.174.1.43,10.174.7.255,NBNS
2025-11-21 13:39:57.854103,10.174.1.43,224.0.0.251,MDNS
2025-11-21 13:39:57.854651,10.174.1.43,224.0.0.251,MDNS
2025-11-21 13:39:57.854757,10.174.1.43,224.0.0.252,LLMNR
2025-11-21 13:39:57.855248,10.174.1.43,224.0.0.252,LLMNR
2025-11-21 13:39:57.928260,10.174.3.13,224.0.0.251,MDNS
2025-11-21 13:39:57.956015,10.174.1.55,224.0.0.251,MDNS
2025-11-21 13:39:57.970297,10.174.7.157,224.0.0.251,MDNS
2025-11-21 13:39:57.987102,10.173.1.7,224.0.0.251,MDNS
2025-11-21 13:39:58.018940,10.174.3.57,224.0.0.251,MDNS
2025-11-21 13:39:58.033943,10.174.3.57,239.255.255.250,SSDP
2025-11-21 13:39:58.050658,10.174.1.117,224.0.0.251,MDNS
2025-11-21 13:39:58.072474,206.247.55.40,10.174.0.8,TCP
2025-11-21 13:39:58.077630,10.174.0.2,224.0.0.251,MDNS
2025-11-21 13:39:58.092210,208.103.161.2,10.174.0.8,TLS
2025-11-21 13:39:58.120842,10.174.0.8,208.103.161.2,TLS
2025-11-21 13:39:58.152050,10.174.1.78,224.0.0.251,MDNS
2025-11-21 13:39:58.158388,10.174.5.12,224.0.0.251,MDNS
2025-11-21 13:39:58.160077,10.174.4.83,224.0.0.251,MDNS
2025-11-21 13:39:58.166948,10.174.7.31,224.0.0.251,MDNS
2025-11-21 13:39:58.168249,206.247.55.40,10.174.0.8,TCP
2025-11-21 13:39:58.170536,10.174.5.7,224.0.0.251,MDNS
2025-11-21 13:39:58.200739,10.174.2.89,224.0.0.251,MDNS
2025-11-21 13:39:58.209405,10.174.5.144,224.0.0.251,MDNS
2025-11-21 13:39:58.219476,10.174.7.158,239.255.255.250,SSDP
2025-11-21 13:39:58.226001,10.174.1.46,224.0.0.251,MDNS
2025-11-21 13:39:58.233210,10.174.2.194,224.0.0.251,MDNS
2025-11-21 13:39:58.235773,10.174.7.106,224.0.0.251,MDNS
2025-11-21 13:39:58.253700,10.174.1.120,224.0.0.251,MDNS
2025-11-21 13:39:58.263607,10.174.7.46,224.0.0.251,MDNS
2025-11-21 13:39:58.276721,10.174.1.81,224.0.0.251,MDNS
2025-11-21 13:39:58.278457,10.174.1.43,224.0.0.251,MDNS
2025-11-21 13:39:58.278457,10.174.1.43,224.0.0.252,LLMNR
2025-11-21 13:39:58.278457,10.174.1.43,224.0.0.252,LLMNR
2025-11-21 13:39:58.279072,10.174.1.43,224.0.0.251,MDNS
2025-11-21 13:39:58.282179,10.174.1.14,224.0.0.251,MDNS
2025-11-21 13:39:58.338896,10.174.3.132,10.174.7.255,NBNS
2025-11-21 13:39:58.378864,10.174.0.8,208.103.161.2,TCP
2025-11-21 13:39:58.387792,10.174.5.253,224.0.0.251,MDNS
2025-11-21 13:39:58.415465,208.103.161.2,10.174.0.8,TCP
2025-11-21 13:39:58.491997,10.174.7.120,239.255.255.250,SSDP
2025-11-21 13:39:58.550399,10.174.0.8,134.224.240.215,TLS
2025-11-21 13:39:58.581849,206.247.55.40,10.174.0.8,TCP
2025-11-21 13:39:58.607553,10.174.1.43,10.174.7.255,NBNS
2025-11-21 13:39:58.610747,10.174.0.8,206.247.55.40,DATA
2025-11-21 13:39:58.628640,10.174.0.8,206.247.55.40,TCP
2025-11-21 13:39:58.689618,10.174.0.12,224.0.0.251,MDNS
2025-11-21 13:39:58.690210,10.174.0.12,224.0.0.251,MDNS
2025-11-21 13:39:58.724758,10.174.5.192,224.0.0.251,MDNS
2025-11-21 13:39:58.735881,10.174.0.41,10.174.7.255,NBNS
2025-11-21 13:39:58.762836,10.174.0.214,239.255.255.250,SSDP
2025-11-21 13:39:58.763223,10.174.0.214,239.255.255.250,SSDP
2025-11-21 13:39:58.766334,10.174.2.158,224.0.0.251,MDNS
2025-11-21 13:39:58.797504,134.224.240.215,10.174.0.8,TCP
2025-11-21 13:39:58.809220,134.224.240.215,10.174.0.8,TLS
2025-11-21 13:39:58.835327,10.174.0.59,10.174.0.8,MSDO
2025-11-21 13:39:58.862490,10.174.0.8,134.224.240.215,TCP
2025-11-21 13:39:58.881193,10.174.0.8,10.174.0.59,TCP
2025-11-21 13:39:59.050499,10.174.1.117,224.0.0.251,MDNS
2025-11-21 13:39:59.058895,10.174.5.192,224.0.0.251,MDNS
2025-11-21 13:39:59.091423,10.174.3.132,10.174.7.255,NBNS
2025-11-21 13:39:59.093809,10.174.2.158,224.0.0.251,MDNS
2025-11-21 13:39:59.345518,10.174.0.8,206.247.55.40,DATA
2025-11-21 13:39:59.364296,10.174.1.43,10.174.7.255,NBNS
2025-11-21 13:39:59.468345,10.174.4.166,10.174.7.255,DATA
2025-11-21 13:39:59.492805,10.174.7.120,224.0.0.251,MDNS
2025-11-21 13:39:59.591017,10.174.7.120,224.0.0.251,MDNS
2025-11-21 13:39:59.625795,206.247.55.40,10.174.0.8,DATA
2025-11-21 13:39:59.634766,10.174.0.8,206.247.55.40,DATA
2025-11-21 13:39:59.649575,10.174.1.150,224.0.0.251,MDNS
2025-11-21 13:39:59.671723,10.174.1.54,224.0.0.251,MDNS
2025-11-21 13:39:59.729563,10.174.5.192,224.0.0.251,MDNS
2025-11-21 13:39:59.759523,10.174.2.158,224.0.0.251,MDNS
2025-11-21 13:39:59.759557,10.174.0.8,206.247.55.40,TLS
2025-11-21 13:39:59.771717,10.174.0.214,239.255.255.250,SSDP
2025-11-21 13:39:59.772090,10.174.0.214,239.255.255.250,SSDP
2025-11-21 13:39:59.828400,10.174.1.150,239.255.255.250,SSDP
2025-11-21 13:39:59.839334,10.174.7.239,224.0.0.251,MDNS
2025-11-21 13:39:59.843909,10.174.2.63,224.0.0.251,IGMP
2025-11-21 13:39:59.847054,10.174.2.63,224.0.0.251,MDNS
2025-11-21 13:39:59.852148,10.174.7.46,224.0.0.251,MDNS
2025-11-21 13:39:59.934200,10.174.4.98,239.255.255.250,SSDP
2025-11-21 13:39:59.949491,10.174.7.35,224.0.0.251,MDNS
2025-11-21 13:39:59.987466,10.174.0.8,206.247.55.40,DATA
2025-11-21 13:39:59.993652,10.174.2.161,224.0.0.251,MDNS
2025-11-21 13:40:00.010649,10.174.3.57,224.0.0.251,MDNS
2025-11-21 13:40:00.031789,10.174.3.57,239.255.255.250,SSDP
2025-11-21 13:40:00.064304,10.174.5.192,224.0.0.251,MDNS
2025-11-21 13:40:00.065991,206.247.55.40,10.174.0.8,TLS
2025-11-21 13:40:00.066287,10.174.0.8,206.247.55.40,TLS
2025-11-21 13:40:00.078385,206.247.55.40,10.174.0.8,TCP
